	IR remote decoder RC5X	 xiaolaba 2018-JUN-19					
seq	RC5	RAW_CODE	T	ADDRESS	COMMAND	bits	key
1	RC5	0x53F	0	0x14	0x3F	12_bits	CD
2	Raw (12): 900 -850 900 -850 900 -900 1750 -1750 1800 -900 900 						DIGITAL 1
3	Raw (10): 950 -800 1850 -1700 1800 -1750 1800 -850 900 						DIGITAL 2
4	RC5X	0x507	1	0x14	0x7	12_bits	DIMMER
5	RC5	0x50B	0	0x14	0xB	12_bits	TIME
6	RC5	0x510	1	0x14	0x10	12_bits	VOLUME +
7	RC5	0x51D	0	0x14	0x1D	12_bits	REPEAT
8	RC5	0x53B	1	0x14	0x3B	12_bits	A-B
9	RC5	0x511	0	0x14	0x11	12_bits	VOLUME -
10	RC5	0x531	1	0x14	0x31	12_bits	CANCEL
11	RC5X	0x528	0	0x14	0x28	12_bits	EDIT
12	RC5	0x529	1	0x14	0x29	12_bits	PROG
13	RC5	0x501	0	0x14	0x1	12_bits	1
14	RC5	0x502	1	0x14	0x2	12_bits	2
15	RC5	0x503	0	0x14	0x3	12_bits	3
16	RC5	0x504	1	0x14	0x4	12_bits	4
17	RC5	0x505	0	0x14	0x5	12_bits	5
18	RC5	0x506	1	0x14	0x6	12_bits	6
19	RC5	0x507	0	0x14	0x7	12_bits	7
20	RC5	0x508	1	0x14	0x8	12_bits	8
21	RC5	0x509	0	0x14	0x9	12_bits	9
22	RC5	0x523	1	0x14	0x23	12_bits	<-
23	RC5	0x500	0	0x14	0x0	12_bits	0
24	RC5	0x522	1	0x14	0x22	12_bits	->
25	RC5	0x521	0	0x14	0x21	12_bits	|<<
26	RC5	0x535	1	0x14	0x35	12_bits	>
27	RC5	0x520	0	0x14	0x20	12_bits	>>|
28	RC5	0x532	1	0x14	0x32	12_bits	<<
29	RC5	0x530	0	0x14	0x30	12_bits	II
30	RC5	0x534	1	0x14	0x34	12_bits	>>
31	RC5	0x52D	0	0x14	0x2D	12_bits	OPEN/CLOSE
32	RC5	0x536	1	0x14	0x36	12_bits	STOP
33	RC5	0x51C	0	0x14	0x1C	12_bits	RANDOM
34	RC5X	0x518	1	0x14	0x18	12_bits	CD TEXT
35	RC5	0x50F	0	0x14	0xF	12_bits	SCROLL
36	RC5	0x52B	1	0x14	0x2B	12_bits	HIGHLIGHT S
