CH_L,CH_R,,CH_L,CH_R
0,0,,0,0
0.54553,-0.54553,,0.54553,-0.54553
-0.91441,0.91441,,-0.91441,0.91441
0.98718,-0.98718,,0.98718,-0.98718
-0.74028,0.74028,,-0.74028,0.74028
0.25366,-0.25366,,0.25366,-0.25366
0.31511,-0.31511,,0.31511,-0.31511
-0.78183,0.78183,,-0.78183,0.78183
0.99538,-0.99538,,0.99538,-0.99538
-0.8866,0.8866,,-0.8866,0.8866
0.49072,-0.49072,,0.49072,-0.49072
0.06407,-0.06407,,0.06407,-0.06407
-0.59811,0.59811,,-0.59811,0.59811
0.93847,-0.93847,,0.93847,-0.93847
-0.97493,0.97493,,-0.97493,0.97493
0.69568,-0.69568,,0.69568,-0.69568
-0.19116,0.19116,,-0.19116,0.19116
-0.37527,0.37527,,-0.37527,0.37527
0.82017,-0.82017,,0.82017,-0.82017
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
-0.49072,0.49072,,-0.49072,0.49072
0.8866,-0.8866,,0.8866,-0.8866
-0.99538,0.99538,,-0.99538,0.99538
0.78183,-0.78183,,0.78183,-0.78183
-0.31511,0.31511,,-0.31511,0.31511
-0.25365,0.25365,,-0.25365,0.25365
0.74028,-0.74028,,0.74028,-0.74028
-0.98718,0.98718,,-0.98718,0.98718
0.91441,-0.91441,,0.91441,-0.91441
-0.54553,0.54553,,-0.54553,0.54553
5.12E-07,-5.12E-07,,5.12E-07,-5.12E-07
0.54553,-0.54553,,0.54553,-0.54553
-0.91441,0.91441,,-0.91441,0.91441
0.98718,-0.98718,,0.98718,-0.98718
-0.74028,0.74028,,-0.74028,0.74028
0.25365,-0.25365,,0.25365,-0.25365
0.31511,-0.31511,,0.31511,-0.31511
-0.78183,0.78183,,-0.78183,0.78183
0.99538,-0.99538,,0.99538,-0.99538
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
0,0,,0,0
-0.85514,0.85514,,-0.85514,0.85514
0.99949,-0.99949,,,
-0.82018,0.82018,,,
0.37527,-0.37527,,,
0.19117,-0.19117,,,
-0.69568,0.69568,,,
0.97493,-0.97493,,,
-0.93847,0.93847,,,
0.59811,-0.59811,,,
-0.064082,0.064082,,,
-0.49072,0.49072,,,
0.8866,-0.8866,,,
-0.99538,0.99538,,,
0.78183,-0.78183,,,
-0.31512,0.31512,,,
-0.25365,0.25365,,,
0.74028,-0.74028,,,
-0.98718,0.98718,,,
0.91441,-0.91441,,,
-0.54554,0.54554,,,
1.02E-06,-1.02E-06,,,
0.54554,-0.54554,,,
-0.91441,0.91441,,,
0.98718,-0.98718,,,
-0.74028,0.74028,,,
0.25365,-0.25365,,,
0.31512,-0.31512,,,
-0.78183,0.78183,,,
0.99538,-0.99538,,,
-0.8866,0.8866,,,
0.49072,-0.49072,,,
0.064058,-0.064058,,,
-0.59811,0.59811,,,
0.93847,-0.93847,,,
-0.97493,0.97493,,,
0.69568,-0.69568,,,
-0.19117,0.19117,,,
-0.37526,0.37526,,,
0.82018,-0.82018,,,
-0.99949,0.99949,,,
0.85514,-0.85514,,,
-0.43389,0.43389,,,
-0.12788,0.12788,,,
0.64823,-0.64823,,,
-0.95867,0.95867,,,
0.95867,-0.95867,,,
-0.64824,0.64824,,,
0.12788,-0.12788,,,
0.43389,-0.43389,,,
-0.85514,0.85514,,,
0.99949,-0.99949,,,
-0.82018,0.82018,,,
0.37527,-0.37527,,,
0.19115,-0.19115,,,
-0.69568,0.69568,,,
0.97493,-0.97493,,,
-0.93847,0.93847,,,
0.59811,-0.59811,,,
-0.064082,0.064082,,,
-0.49071,0.49071,,,
0.8866,-0.8866,,,
-0.99538,0.99538,,,
0.78183,-0.78183,,,
-0.31512,0.31512,,,
-0.25365,0.25365,,,
0.74027,-0.74027,,,
-0.98718,0.98718,,,
0.91441,-0.91441,,,
-0.54554,0.54554,,,
2.32E-05,-2.32E-05,,,
0.54554,-0.54554,,,
-0.91441,0.91441,,,
0.98718,-0.98718,,,
-0.74027,0.74027,,,
0.25366,-0.25366,,,
0.3151,-0.3151,,,
-0.78184,0.78184,,,
0.99538,-0.99538,,,
-0.8866,0.8866,,,
0.49074,-0.49074,,,
0.064079,-0.064079,,,
-0.59811,0.59811,,,
0.93846,-0.93846,,,
-0.97492,0.97492,,,
0.69568,-0.69568,,,
-0.19117,0.19117,,,
-0.37528,0.37528,,,
0.82018,-0.82018,,,
-0.99949,0.99949,,,
0.85515,-0.85515,,,
-0.43387,0.43387,,,
-0.12787,0.12787,,,
0.64822,-0.64822,,,
-0.95867,0.95867,,,
0.95867,-0.95867,,,
-0.64824,0.64824,,,
0.1279,-0.1279,,,
0.43389,-0.43389,,,
-0.85514,0.85514,,,
0.99949,-0.99949,,,
-0.82017,0.82017,,,
0.37527,-0.37527,,,
0.19115,-0.19115,,,
-0.69569,0.69569,,,
0.97493,-0.97493,,,
-0.93847,0.93847,,,
0.59813,-0.59813,,,
-0.064061,0.064061,,,
-0.49071,0.49071,,,
0.88659,-0.88659,,,
-0.99538,0.99538,,,
0.78183,-0.78183,,,
-0.31512,0.31512,,,
-0.25363,0.25363,,,
0.74028,-0.74028,,,
-0.98718,0.98718,,,
0.91442,-0.91442,,,
-0.54553,0.54553,,,
2.05E-06,-2.05E-06,,,
0.54552,-0.54552,,,
-0.91442,0.91442,,,
0.98718,-0.98718,,,
-0.74028,0.74028,,,
0.25368,-0.25368,,,
0.31512,-0.31512,,,
-0.78183,0.78183,,,
0.99538,-0.99538,,,
-0.88659,0.88659,,,
0.49072,-0.49072,,,
0.064057,-0.064057,,,
-0.59812,0.59812,,,
0.93847,-0.93847,,,
-0.97493,0.97493,,,
0.6957,-0.6957,,,
-0.19115,0.19115,,,
-0.37526,0.37526,,,
0.82016,-0.82016,,,
-0.99949,0.99949,,,
0.85514,-0.85514,,,
-0.43389,0.43389,,,
-0.12785,0.12785,,,
0.64823,-0.64823,,,
-0.95867,0.95867,,,
0.95867,-0.95867,,,
-0.64822,0.64822,,,
0.12788,-0.12788,,,
0.43387,-0.43387,,,
-0.85515,0.85515,,,
0.99949,-0.99949,,,
-0.82018,0.82018,,,
0.37529,-0.37529,,,
0.19117,-0.19117,,,
-0.69568,0.69568,,,
0.97492,-0.97492,,,
-0.93846,0.93846,,,
0.59811,-0.59811,,,
-0.064083,0.064083,,,
-0.49073,0.49073,,,
0.8866,-0.8866,,,
-0.99538,0.99538,,,
0.78184,-0.78184,,,
-0.3151,0.3151,,,
-0.25365,0.25365,,,
0.74027,-0.74027,,,
-0.98718,0.98718,,,
0.91441,-0.91441,,,
-0.54554,0.54554,,,
2.43E-05,-2.43E-05,,,
0.54554,-0.54554,,,
-0.91441,0.91441,,,
0.98718,-0.98718,,,
-0.74027,0.74027,,,
0.25366,-0.25366,,,
0.31509,-0.31509,,,
-0.78184,0.78184,,,
0.99538,-0.99538,,,
-0.8866,0.8866,,,
0.49074,-0.49074,,,
0.064078,-0.064078,,,
-0.59811,0.59811,,,
0.93846,-0.93846,,,
-0.97493,0.97493,,,
0.69568,-0.69568,,,
-0.19117,0.19117,,,
-0.37524,0.37524,,,
0.82017,-0.82017,,,
-0.99949,0.99949,,,
0.85515,-0.85515,,,
-0.43388,0.43388,,,
-0.12787,0.12787,,,
0.64822,-0.64822,,,
-0.95867,0.95867,,,
0.95867,-0.95867,,,
-0.64824,0.64824,,,
0.1279,-0.1279,,,
0.43389,-0.43389,,,
-0.85514,0.85514,,,
0.99949,-0.99949,,,
-0.82017,0.82017,,,
0.37527,-0.37527,,,
0.19114,-0.19114,,,
-0.69569,0.69569,,,
0.97493,-0.97493,,,
-0.93847,0.93847,,,
0.59813,-0.59813,,,
-0.064062,0.064062,,,
-0.49071,0.49071,,,
0.88661,-0.88661,,,
-0.99538,0.99538,,,
0.78183,-0.78183,,,
-0.31508,0.31508,,,
-0.25363,0.25363,,,
0.74028,-0.74028,,,
-0.98719,0.98719,,,
0.91442,-0.91442,,,
-0.54553,0.54553,,,
4.65E-05,-4.65E-05,,,
0.54552,-0.54552,,,
-0.91442,0.91442,,,
0.98719,-0.98719,,,
-0.74029,0.74029,,,
0.25364,-0.25364,,,
0.31507,-0.31507,,,
-0.78183,0.78183,,,
0.99538,-0.99538,,,
-0.88661,0.88661,,,
0.49072,-0.49072,,,
0.064099,-0.064099,,,
-0.59809,0.59809,,,
0.93847,-0.93847,,,
-0.97492,0.97492,,,
0.6957,-0.6957,,,
-0.19115,0.19115,,,
-0.37522,0.37522,,,
0.82016,-0.82016,,,
-0.99949,0.99949,,,
0.85517,-0.85517,,,
-0.4339,0.4339,,,
-0.12789,0.12789,,,
0.6482,-0.6482,,,
-0.95867,0.95867,,,
0.95866,-0.95866,,,
-0.64825,0.64825,,,
0.12788,-0.12788,,,
0.43391,-0.43391,,,
-0.85513,0.85513,,,
0.99949,-0.99949,,,
-0.82015,0.82015,,,
0.37529,-0.37529,,,
0.19117,-0.19117,,,
-0.69571,0.69571,,,
0.97492,-0.97492,,,
-0.93846,0.93846,,,
0.59815,-0.59815,,,
-0.064084,0.064084,,,
-0.49073,0.49073,,,
0.88658,-0.88658,,,
-0.99538,0.99538,,,
0.78182,-0.78182,,,
-0.31514,0.31514,,,
-0.25365,0.25365,,,
0.7403,-0.7403,,,
-0.98718,0.98718,,,
0.91441,-0.91441,,,
-0.54551,0.54551,,,
2.53E-05,-2.53E-05,,,
0.54554,-0.54554,,,
-0.91443,0.91443,,,
0.98719,-0.98719,,,
-0.74027,0.74027,,,
0.2537,-0.2537,,,
0.31509,-0.31509,,,
-0.78184,0.78184,,,
0.99538,-0.99538,,,
-0.8866,0.8866,,,
0.4907,-0.4907,,,
0.064034,-0.064034,,,
-0.59811,0.59811,,,
0.93848,-0.93848,,,
-0.97493,0.97493,,,
0.69568,-0.69568,,,
-0.19113,0.19113,,,
-0.37524,0.37524,,,
0.82017,-0.82017,,,
-0.99949,0.99949,,,
0.85515,-0.85515,,,
-0.43388,0.43388,,,
-0.12783,0.12783,,,
0.64822,-0.64822,,,
-0.95867,0.95867,,,
0.95868,-0.95868,,,
-0.64824,0.64824,,,
0.12786,-0.12786,,,
0.43385,-0.43385,,,
-0.85514,0.85514,,,
0.99949,-0.99949,,,
-0.82019,0.82019,,,
0.37527,-0.37527,,,
0.19119,-0.19119,,,
-0.69566,0.69566,,,
0.97493,-0.97493,,,
-0.93846,0.93846,,,
0.59813,-0.59813,,,
-0.064063,0.064063,,,
-0.49067,0.49067,,,
0.88659,-0.88659,,,
-0.99538,0.99538,,,
0.78186,-0.78186,,,
-0.31512,0.31512,,,
-0.25367,0.25367,,,
0.74025,-0.74025,,,
-0.98718,0.98718,,,
0.9144,-0.9144,,,
-0.54556,0.54556,,,
4.09E-06,-4.09E-06,,,
0.54556,-0.54556,,,
-0.9144,0.9144,,,
0.98718,-0.98718,,,
-0.74026,0.74026,,,
0.25368,-0.25368,,,
0.31511,-0.31511,,,
-0.78185,0.78185,,,
0.99538,-0.99538,,,
-0.88659,0.88659,,,
0.49076,-0.49076,,,
0.064055,-0.064055,,,
-0.59812,0.59812,,,
0.93845,-0.93845,,,
-0.97493,0.97493,,,
0.69567,-0.69567,,,
-0.19119,0.19119,,,
-0.37526,0.37526,,,
0.82019,-0.82019,,,
-0.99949,0.99949,,,
0.85514,-0.85514,,,
-0.43386,0.43386,,,
-0.12785,0.12785,,,
0.64823,-0.64823,,,
-0.95868,0.95868,,,
0.95867,-0.95867,,,
-0.64822,0.64822,,,
0.12792,-0.12792,,,
0.43387,-0.43387,,,
-0.85515,0.85515,,,
0.99949,-0.99949,,,
-0.82018,0.82018,,,
0.37525,-0.37525,,,
0.19112,-0.19112,,,
-0.69568,0.69568,,,
0.97493,-0.97493,,,
-0.93848,0.93848,,,
0.59811,-0.59811,,,
-0.064042,0.064042,,,
